isotype	gene	distance	rsq
Ig	Lambda_Light_Chain	14	0.25972748981598537
Ig	Lambda_Light_Chain	19	0.10607559712954912
Ig	Lambda_Light_Chain	25	0.14454277286135694
Ig	Lambda_Light_Chain	33	0.008546123900882474
Ig	Lambda_Light_Chain	51	0.0028675613017010884
Ig	Lambda_Light_Chain	52	0.06038048630641223
Ig	Lambda_Light_Chain	53	0.005580357142857142
Ig	Lambda_Light_Chain	54	0.04625583192603829
Ig	Lambda_Light_Chain	56	0.07560299226965891
Ig	Lambda_Light_Chain	58	2.3054648739371972e-05
Ig	Lambda_Light_Chain	59	7.125247602354164e-05
Ig	Lambda_Light_Chain	61	0.08249375195251485
Ig	Lambda_Light_Chain	62	0.015510406958682825
Ig	Lambda_Light_Chain	73	0.1028667733383222
Ig	Lambda_Light_Chain	74	0.0006501496418803837
Ig	Lambda_Light_Chain	84	0.033781653440993056
Ig	Lambda_Light_Chain	86	0.0350517628934604
Ig	Lambda_Light_Chain	108	0.0240489234231136
Ig	Lambda_Light_Chain	123	0.0006501496418803837
Ig	Lambda_Light_Chain	124	0.02949852507374631
Ig	Lambda_Light_Chain	128	0.004630263842845012
Ig	Lambda_Light_Chain	138	0.05797024793502153
Ig	Lambda_Light_Chain	166	0.0015143206514887932
Ig	Lambda_Light_Chain	179	0.009775001446006133
Ig	Lambda_Light_Chain	180	0.00018551407440296324
Ig	Lambda_Light_Chain	181	0.025234730488208616
Ig	Lambda_Light_Chain	205	0.01398448596088714
Ig	Lambda_Light_Chain	212	0.049450549450549455
Ig	Lambda_Light_Chain	216	0.05779525838522887
Ig	Lambda_Light_Chain	218	0.05779525838522887
Ig	Lambda_Light_Chain	229	0.06733675661895917
Ig	Lambda_Light_Chain	235	0.09255611217253008
Ig	Lambda_Light_Chain	238	0.024630541871921183
Ig	Lambda_Light_Chain	239	0.0012049667222081022
Ig	Lambda_Light_Chain	240	0.021111893033075292
Ig	Lambda_Light_Chain	241	5.5492574363889996e-05
Ig	Lambda_Light_Chain	5	0.34957047106579814
Ig	Lambda_Light_Chain	11	0.06219630709426627
Ig	Lambda_Light_Chain	19	0.20152946468735944
Ig	Lambda_Light_Chain	37	0.015525810146694746
Ig	Lambda_Light_Chain	38	0.09268904320987653
Ig	Lambda_Light_Chain	39	0.0017724211272598346
Ig	Lambda_Light_Chain	40	0.00016365576351078345
Ig	Lambda_Light_Chain	42	0.02941062544721081
Ig	Lambda_Light_Chain	44	0.02011026082567581
Ig	Lambda_Light_Chain	45	0.010351966873706004
Ig	Lambda_Light_Chain	47	0.016933054285197525
Ig	Lambda_Light_Chain	48	0.016098941410753586
Ig	Lambda_Light_Chain	59	0.017005538744669178
Ig	Lambda_Light_Chain	60	0.014658686789834327
Ig	Lambda_Light_Chain	70	0.0403324274292016
Ig	Lambda_Light_Chain	72	0.008589986725685821
Ig	Lambda_Light_Chain	94	0.001631805370123127
Ig	Lambda_Light_Chain	109	0.014658686789834327
Ig	Lambda_Light_Chain	110	0.010714285714285714
Ig	Lambda_Light_Chain	114	0.01592215833701902
Ig	Lambda_Light_Chain	124	0.04349564543739301
Ig	Lambda_Light_Chain	152	0.0005706559910099733
Ig	Lambda_Light_Chain	165	0.042093027687265396
Ig	Lambda_Light_Chain	166	0.000228961569167755
Ig	Lambda_Light_Chain	167	0.05049489107824536
Ig	Lambda_Light_Chain	191	0.0014577259475218667
Ig	Lambda_Light_Chain	198	0.028747070262379035
Ig	Lambda_Light_Chain	202	0.035714285714285705
Ig	Lambda_Light_Chain	204	0.03571428571428571
Ig	Lambda_Light_Chain	215	0.021164021164021156
Ig	Lambda_Light_Chain	221	0.026157248531991157
Ig	Lambda_Light_Chain	224	0.0009653627833339782
Ig	Lambda_Light_Chain	225	0.009827726153157182
Ig	Lambda_Light_Chain	226	0.00011728829462819637
Ig	Lambda_Light_Chain	227	0.00358480378641669
Ig	Lambda_Light_Chain	6	0.034267912772585674
Ig	Lambda_Light_Chain	14	0.14738974748812422
Ig	Lambda_Light_Chain	32	0.017663088585182316
Ig	Lambda_Light_Chain	33	0.09625735816212007
Ig	Lambda_Light_Chain	34	0.0017499999999999987
Ig	Lambda_Light_Chain	35	0.02904632960250313
Ig	Lambda_Light_Chain	37	0.029848942348942354
Ig	Lambda_Light_Chain	39	0.0026175260122308173
Ig	Lambda_Light_Chain	40	2.2163939270806438e-05
Ig	Lambda_Light_Chain	42	0.06379970544919
Ig	Lambda_Light_Chain	43	0.010812510779032376
Ig	Lambda_Light_Chain	54	0.00036634697341727043
Ig	Lambda_Light_Chain	55	0.08377993715821201
Ig	Lambda_Light_Chain	65	0.033293440890667304
Ig	Lambda_Light_Chain	67	0.01885285049895037
Ig	Lambda_Light_Chain	89	0.01631389446919188
Ig	Lambda_Light_Chain	104	0.0078044115120873185
Ig	Lambda_Light_Chain	105	0.01770036816765789
Ig	Lambda_Light_Chain	109	0.0013119827071969641
Ig	Lambda_Light_Chain	119	0.04058375340473153
Ig	Lambda_Light_Chain	147	0.004317727662003995
Ig	Lambda_Light_Chain	160	0.08130230285260522
Ig	Lambda_Light_Chain	161	0.003209737343528083
Ig	Lambda_Light_Chain	162	0.0442570984230524
Ig	Lambda_Light_Chain	186	0.027187765505522512
Ig	Lambda_Light_Chain	193	0.12608731219153055
Ig	Lambda_Light_Chain	197	0.11897007457755121
Ig	Lambda_Light_Chain	199	0.11897007457755121
Ig	Lambda_Light_Chain	210	0.0015418987381604205
Ig	Lambda_Light_Chain	216	0.030758129405330476
Ig	Lambda_Light_Chain	219	0.0150772585601163
Ig	Lambda_Light_Chain	220	0.006513862313235354
Ig	Lambda_Light_Chain	221	0.0020525451559934333
